Date_Time,Model_Name,Train_AUC,Validation_AUC,Accuracy,Precision,Recall,F1_Score,Log_Loss,MCC,Balanced_Accuracy,Confusion_Matrix_TP,Confusion_Matrix_FP,Confusion_Matrix_FN,Confusion_Matrix_TN,Model_Filename,Learning_Rate,N_Estimators,Max_Depth,Min_Child_Weight,Gamma,Subsample,Colsample_Bytree,Reg_Lambda,Reg_Alpha,random_state,scale_pos_weight,kaggle_score,Precision-Recall_AUC
20230627_125825,XGBoost,0.999821481,0.980172009,0.987729588,0.951388889,0.74863388,0.837920489,0.041890278,0.838094733,0.87347078,411,21,138,12388,Models\XGBoost_model-20230627_125825.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_130048,XGBoost,0.999821481,0.980172009,0.987729588,0.951388889,0.74863388,0.837920489,0.041890278,0.838094733,0.87347078,411,21,138,12388,Models\XGBoost_model-20230627_130048.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_130313,XGBoost,0.999821481,0.980172009,0.987729588,0.951388889,0.74863388,0.837920489,0.041890278,0.838094733,0.87347078,411,21,138,12388,Models\XGBoost_model-20230627_130313.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_130543,XGBoost,0.999821481,0.980172009,0.987729588,0.951388889,0.74863388,0.837920489,0.041890278,0.838094733,0.87347078,411,21,138,12388,Models\XGBoost_model-20230627_130543.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,0.96505,
20230627_130830,XGBoost,0.999821481,0.980172009,0.987729588,0.951388889,0.74863388,0.837920489,0.041890278,0.838094733,0.87347078,411,21,138,12388,Models\XGBoost_model-20230627_130830.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_131109,XGBoost,0.999821481,0.980172009,0.987729588,0.951388889,0.74863388,0.837920489,0.041890278,0.838094733,0.87347078,411,21,138,12388,Models\XGBoost_model-20230627_131109.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_131348,XGBoost,0.999821481,0.980172009,0.987729588,0.951388889,0.74863388,0.837920489,0.041890278,0.838094733,0.87347078,411,21,138,12388,Models\XGBoost_model-20230627_131348.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_131615,XGBoost,0.999821481,0.980172009,0.987729588,0.951388889,0.74863388,0.837920489,0.041890278,0.838094733,0.87347078,411,21,138,12388,Models\XGBoost_model-20230627_131615.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_131853,XGBoost,0.999821481,0.980172009,0.987729588,0.951388889,0.74863388,0.837920489,0.041890278,0.838094733,0.87347078,411,21,138,12388,Models\XGBoost_model-20230627_131853.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_132302,XGBoost,0.999999638,0.971285723,0.98618614,0.957244656,0.714539007,0.818274112,0.05276829,0.820634495,0.856543346,403,18,161,12376,Models\XGBoost_model-20230627_132302.pickle,,100,,,,,,,,,,,
20230627_132309,XGBoost,0.999999638,0.971285723,0.98618614,0.957244656,0.714539007,0.818274112,0.05276829,0.820634495,0.856543346,403,18,161,12376,Models\XGBoost_model-20230627_132309.pickle,,100,,,,,,,,,,,
20230627_132317,XGBoost,0.999999638,0.971285723,0.98618614,0.957244656,0.714539007,0.818274112,0.05276829,0.820634495,0.856543346,403,18,161,12376,Models\XGBoost_model-20230627_132317.pickle,,100,,,,,,,,,,,
20230627_132324,XGBoost,0.999999638,0.971285723,0.98618614,0.957244656,0.714539007,0.818274112,0.05276829,0.820634495,0.856543346,403,18,161,12376,Models\XGBoost_model-20230627_132324.pickle,,100,,,,,,,,,,,
20230627_132332,XGBoost,0.999999638,0.971285723,0.98618614,0.957244656,0.714539007,0.818274112,0.05276829,0.820634495,0.856543346,403,18,161,12376,Models\XGBoost_model-20230627_132332.pickle,,100,,,,,,,,,,,
20230627_132340,XGBoost,0.999999638,0.971285723,0.98618614,0.957244656,0.714539007,0.818274112,0.05276829,0.820634495,0.856543346,403,18,161,12376,Models\XGBoost_model-20230627_132340.pickle,,100,,,,,,,,,,,
20230627_132547,XGBoost,0.999999119,0.965873138,0.98618614,0.928571429,0.731397459,0.818274112,0.052684763,0.817447882,0.864449435,403,31,148,12376,Models\XGBoost_model-20230627_132547.pickle,,100,,,,,,,,,,,
20230627_132554,XGBoost,0.999999119,0.965873138,0.98618614,0.928571429,0.731397459,0.818274112,0.052684763,0.817447882,0.864449435,403,31,148,12376,Models\XGBoost_model-20230627_132554.pickle,,100,,,,,,,,,,,
20230627_132601,XGBoost,0.999999119,0.965873138,0.98618614,0.928571429,0.731397459,0.818274112,0.052684763,0.817447882,0.864449435,403,31,148,12376,Models\XGBoost_model-20230627_132601.pickle,,100,,,,,,,,,,,
20230627_132608,XGBoost,0.999999119,0.965873138,0.98618614,0.928571429,0.731397459,0.818274112,0.052684763,0.817447882,0.864449435,403,31,148,12376,Models\XGBoost_model-20230627_132608.pickle,,100,,,,,,,,,,,
20230627_132616,XGBoost,0.999999119,0.965873138,0.98618614,0.928571429,0.731397459,0.818274112,0.052684763,0.817447882,0.864449435,403,31,148,12376,Models\XGBoost_model-20230627_132616.pickle,,100,,,,,,,,,,,
20230627_132623,XGBoost,0.999999119,0.965873138,0.98618614,0.928571429,0.731397459,0.818274112,0.052684763,0.817447882,0.864449435,403,31,148,12376,Models\XGBoost_model-20230627_132623.pickle,,100,,,,,,,,,,,
20230627_132630,XGBoost,0.999999119,0.965873138,0.98618614,0.928571429,0.731397459,0.818274112,0.052684763,0.817447882,0.864449435,403,31,148,12376,Models\XGBoost_model-20230627_132630.pickle,,100,,,,,,,,,,,
20230627_132638,XGBoost,0.999999119,0.965873138,0.98618614,0.928571429,0.731397459,0.818274112,0.052684763,0.817447882,0.864449435,403,31,148,12376,Models\XGBoost_model-20230627_132638.pickle,,100,,,,,,,,,,,
20230627_132646,XGBoost,0.999999119,0.965873138,0.98618614,0.928571429,0.731397459,0.818274112,0.052684763,0.817447882,0.864449435,403,31,148,12376,Models\XGBoost_model-20230627_132646.pickle,,100,,,,,,,,,,,
20230627_132653,XGBoost,0.999999119,0.965873138,0.98618614,0.928571429,0.731397459,0.818274112,0.052684763,0.817447882,0.864449435,403,31,148,12376,Models\XGBoost_model-20230627_132653.pickle,,100,,,,,,,,,,0.95519,
20230627_133050,XGBoost,0.999847247,0.974388499,0.987652415,0.951724138,0.748643761,0.83805668,0.043899549,0.838212597,0.873475448,414,21,139,12384,Models\XGBoost_model-20230627_133050.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,0.96682,
20230627_134227,XGBoost,0.999877349,0.975368657,0.987343726,0.943005181,0.719367589,0.816143498,0.043344786,0.817677209,0.858800402,364,22,142,12430,Models\XGBoost_model-20230627_134227.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_135256,XGBoost,0.999876086,0.97549277,0.987420898,0.943152455,0.721343874,0.817469205,0.043196939,0.81890165,0.859788545,365,22,141,12430,Models\XGBoost_model-20230627_135256.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_140318,XGBoost,0.999878011,0.9755334,0.987189381,0.940414508,0.717391304,0.813901345,0.042994586,0.815333804,0.857772106,363,23,143,12429,Models\XGBoost_model-20230627_140318.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_141728,XGBoost,0.999734007,0.976224153,0.986726347,0.952054795,0.73415493,0.829025845,0.045176274,0.829763874,0.866230007,417,21,151,12369,Models\XGBoost_model-20230627_141728.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_142716,XGBoost,0.999733952,0.976512465,0.986726347,0.952054795,0.73415493,0.829025845,0.045125108,0.829763874,0.866230007,417,21,151,12369,Models\XGBoost_model-20230627_142716.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
20230627_143717,XGBoost,0.999737549,0.97574657,0.986649174,0.954022989,0.730633803,0.827517448,0.045427099,0.828610068,0.864509799,415,20,153,12370,Models\XGBoost_model-20230627_143717.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,,
